Job ID: 9549351
Node:   g8
GPU:    0
Run:    focal_deep
Start:  Sun Jun 28 16:53:55 EDT 2026
Device: cuda
Parsed 33 epochs  |  Best val AUC: 0.7845 @ ep13
Saved: /geode3/home/u070/ohjiye/Quartz/MedImage/ProstateCls/figures/focal_deep/learning_curve.png
Val:  68  (csPCa=10)
Test: 68 (csPCa=10)
initialize_weights...
[model] First conv inflated: 3 → 96 channels (weight tiling ÷32)
[model] proj_head: 1024 → 512 → 256 → 128 → 2  (dropout=0.2)
Loaded: /geode3/home/u070/ohjiye/Quartz/MedImage/ProstateCls/output/focal_deep/best.pth  (best ep=13)
Running val inference...
Running test inference...
Val  AUC=0.7845  AP=0.3711
Test AUC=0.9190  AP=0.7664
Saved: /geode3/home/u070/ohjiye/Quartz/MedImage/ProstateCls/figures/focal_deep/roc_pr_curve.png
Saved: /geode3/home/u070/ohjiye/Quartz/MedImage/ProstateCls/figures/focal_deep/confusion_matrix.png
=== 9549344 ===
Best val AUC: 0.7845 @ epoch 13
Val  AP:      0.3711
Test AUC:     0.9190
Test AP:      0.7664

 Threshold  Sensitivity  Specificity  Precision       F1   TP   FP   TN   FN
---------------------------------------------------------------------------
      0.20       1.0000       0.5345     0.2703   0.4255   10   27   31    0
      0.30       0.9000       0.6379     0.3000   0.4500    9   21   37    1
      0.40       0.9000       0.7414     0.3750   0.5294    9   15   43    1
      0.50       0.9000       0.7759     0.4091   0.5625    9   13   45    1
      0.60       0.9000       0.7931     0.4286   0.5806    9   12   46    1
      0.70       0.8000       0.8621     0.5000   0.6154    8    8   50    2
      0.77       0.7000       0.9310     0.6364   0.6667    7    4   54    3 ← Youden

Per-patient predictions (test set):
  PatientID            Label      Prob   Pred@0.5  Correct
  10226_1000230        ciPCa     0.139      ciPCa       OK
  10524_1000534        ciPCa     0.744      csPCa    WRONG
  10099_1000099        ciPCa     0.034      ciPCa       OK
  10073_1000073        ciPCa     0.013      ciPCa       OK
  10378_1000384        ciPCa     0.208      ciPCa       OK
  10082_1000082        ciPCa     0.026      ciPCa       OK
  10351_1000357        ciPCa     0.074      ciPCa       OK
  10210_1000214        ciPCa     0.103      ciPCa       OK
  10398_1000404        csPCa     0.617      csPCa       OK
  10407_1000414        ciPCa     0.374      ciPCa       OK
  10043_1000043        csPCa     0.823      csPCa       OK
  10449_1000457        ciPCa     0.337      ciPCa       OK
  10388_1000394        ciPCa     0.205      ciPCa       OK
  10071_1000071        ciPCa     0.358      ciPCa       OK
  10589_1000603        csPCa     0.772      csPCa       OK
  10574_1000586        ciPCa     0.772      csPCa    WRONG
  10454_1000462        ciPCa     0.584      csPCa    WRONG
  10469_1000477        ciPCa     0.200      ciPCa       OK
  10207_1000211        ciPCa     0.751      csPCa    WRONG
  10467_1000475        ciPCa     0.011      ciPCa       OK
  10136_1000138        ciPCa     0.159      ciPCa       OK
  10076_1000076        ciPCa     0.618      csPCa    WRONG
  10489_1000497        ciPCa     0.130      ciPCa       OK
  10335_1000341        ciPCa     0.860      csPCa    WRONG
  10366_1000372        ciPCa     0.833      csPCa    WRONG
  10242_1000246        ciPCa     0.045      ciPCa       OK
  10543_1000554        ciPCa     0.068      ciPCa       OK
  10269_1000273        ciPCa     0.096      ciPCa       OK
  10031_1000031        ciPCa     0.058      ciPCa       OK
  10257_1000261        csPCa     0.883      csPCa       OK
  10430_1000438        ciPCa     0.286      ciPCa       OK
  10185_1000188        ciPCa     0.703      csPCa    WRONG
