Job ID: 9550842
Node:   g8
GPU:    0
Run:    adapter_base_rlrop
Extra:  none
Start:  Sun Jun 28 21:11:06 EDT 2026
Device: cuda
initialize_weights...
[model] Channel adapter: 96 → 3 → 64 (1-layer 1×1 + pretrained 3×3)
[model] backbone: MedViT_base  proj_head: 1024 → 512 → 256 → 2  (dropout=0.2)
Config saved: /geode3/home/u070/ohjiye/Quartz/MedImage/ProstateCls/channel_adapter/output/adapter_base_rlrop/config.json
Total: 451  csPCa: 65  ciPCa: 386
Split → train: 315 (csPCa=45) | val: 68 (csPCa=10) | test: 68 (csPCa=10)

==================================================
Train: 315 (csPCa=45, ciPCa=270)
Val:   68   (csPCa=10, ciPCa=58)
initialize_weights...
[model] Pretrained backbone loaded from /N/slate/ohjiye/medvit_ckpt/MedViT_base.pth
[model] Channel adapter: 96 → 3 → 64 (1-layer 1×1 + pretrained 3×3)
[model] backbone: MedViT_base  proj_head: 1024 → 512 → 256 → 2  (dropout=0.2)
  Class weights: ciPCa=0.583  csPCa=3.500  (1:6.0)
  Loss: CrossEntropyLoss
  Optimizer: backbone LR=1e-05, adapter LR=0.0001, proj_head LR=0.0003
  Epoch   1/150 | loss: 0.5818 | val AUC: 0.7552 | LR bb=1.0e-05 adapter=1.0e-04 hd=3.0e-04
  Epoch   2/150 | loss: 0.4606 | val AUC: 0.7155 | LR bb=1.0e-05 adapter=1.0e-04 hd=3.0e-04
  Epoch   3/150 | loss: 0.4727 | val AUC: 0.7328 | LR bb=1.0e-05 adapter=1.0e-04 hd=3.0e-04
  Epoch   4/150 | loss: 0.3906 | val AUC: 0.7362 | LR bb=1.0e-05 adapter=1.0e-04 hd=3.0e-04
  Epoch   5/150 | loss: 0.3652 | val AUC: 0.7138 | LR bb=1.0e-05 adapter=1.0e-04 hd=3.0e-04
  Epoch   6/150 | loss: 0.3685 | val AUC: 0.7310 | LR bb=1.0e-05 adapter=1.0e-04 hd=3.0e-04
  Epoch   7/150 | loss: 0.3793 | val AUC: 0.7879 | LR bb=1.0e-05 adapter=1.0e-04 hd=3.0e-04
  Epoch   8/150 | loss: 0.2658 | val AUC: 0.7259 | LR bb=1.0e-05 adapter=1.0e-04 hd=3.0e-04
  Epoch   9/150 | loss: 0.3100 | val AUC: 0.6793 | LR bb=1.0e-05 adapter=1.0e-04 hd=3.0e-04
  Epoch  10/150 | loss: 0.3017 | val AUC: 0.6724 | LR bb=1.0e-05 adapter=1.0e-04 hd=3.0e-04
  Epoch  11/150 | loss: 0.2520 | val AUC: 0.7155 | LR bb=1.0e-05 adapter=1.0e-04 hd=3.0e-04
  Epoch  12/150 | loss: 0.2528 | val AUC: 0.6621 | LR bb=1.0e-05 adapter=1.0e-04 hd=3.0e-04
  Epoch  13/150 | loss: 0.2576 | val AUC: 0.7172 | LR bb=1.0e-05 adapter=1.0e-04 hd=3.0e-04
  Epoch  14/150 | loss: 0.2660 | val AUC: 0.6793 | LR bb=1.0e-05 adapter=1.0e-04 hd=3.0e-04
  Epoch  15/150 | loss: 0.2258 | val AUC: 0.7241 | LR bb=1.0e-05 adapter=1.0e-04 hd=3.0e-04
  Epoch  16/150 | loss: 0.2755 | val AUC: 0.6879 | LR bb=1.0e-05 adapter=1.0e-04 hd=3.0e-04
  Epoch  17/150 | loss: 0.2167 | val AUC: 0.6741 | LR bb=1.0e-05 adapter=1.0e-04 hd=3.0e-04
  Epoch  18/150 | loss: 0.3059 | val AUC: 0.6810 | LR bb=5.0e-06 adapter=5.0e-05 hd=1.5e-04
  LR reduced: 3.0e-04 → 1.5e-04  (patience reset)
  Epoch  19/150 | loss: 0.2383 | val AUC: 0.7155 | LR bb=5.0e-06 adapter=5.0e-05 hd=1.5e-04
  Epoch  20/150 | loss: 0.2016 | val AUC: 0.7052 | LR bb=5.0e-06 adapter=5.0e-05 hd=1.5e-04
  Epoch  21/150 | loss: 0.1866 | val AUC: 0.6483 | LR bb=5.0e-06 adapter=5.0e-05 hd=1.5e-04
  Epoch  22/150 | loss: 0.1790 | val AUC: 0.6655 | LR bb=5.0e-06 adapter=5.0e-05 hd=1.5e-04
  Epoch  23/150 | loss: 0.3166 | val AUC: 0.6931 | LR bb=5.0e-06 adapter=5.0e-05 hd=1.5e-04
  Epoch  24/150 | loss: 0.2413 | val AUC: 0.6569 | LR bb=5.0e-06 adapter=5.0e-05 hd=1.5e-04
  Epoch  25/150 | loss: 0.1016 | val AUC: 0.7207 | LR bb=5.0e-06 adapter=5.0e-05 hd=1.5e-04
  Epoch  26/150 | loss: 0.1509 | val AUC: 0.6552 | LR bb=5.0e-06 adapter=5.0e-05 hd=1.5e-04
  Epoch  27/150 | loss: 0.3345 | val AUC: 0.6655 | LR bb=5.0e-06 adapter=5.0e-05 hd=1.5e-04
  Epoch  28/150 | loss: 0.2841 | val AUC: 0.7017 | LR bb=5.0e-06 adapter=5.0e-05 hd=1.5e-04
  Epoch  29/150 | loss: 0.2061 | val AUC: 0.6500 | LR bb=2.5e-06 adapter=2.5e-05 hd=7.5e-05
  LR reduced: 1.5e-04 → 7.5e-05  (patience reset)
  Epoch  30/150 | loss: 0.1786 | val AUC: 0.6638 | LR bb=2.5e-06 adapter=2.5e-05 hd=7.5e-05
  Epoch  31/150 | loss: 0.1936 | val AUC: 0.6431 | LR bb=2.5e-06 adapter=2.5e-05 hd=7.5e-05
  Epoch  32/150 | loss: 0.2175 | val AUC: 0.6638 | LR bb=2.5e-06 adapter=2.5e-05 hd=7.5e-05
  Epoch  33/150 | loss: 0.2434 | val AUC: 0.6190 | LR bb=2.5e-06 adapter=2.5e-05 hd=7.5e-05
  Epoch  34/150 | loss: 0.1598 | val AUC: 0.6276 | LR bb=2.5e-06 adapter=2.5e-05 hd=7.5e-05
  Epoch  35/150 | loss: 0.1344 | val AUC: 0.6172 | LR bb=2.5e-06 adapter=2.5e-05 hd=7.5e-05
  Epoch  36/150 | loss: 0.1436 | val AUC: 0.6707 | LR bb=2.5e-06 adapter=2.5e-05 hd=7.5e-05
  Epoch  37/150 | loss: 0.1988 | val AUC: 0.6810 | LR bb=2.5e-06 adapter=2.5e-05 hd=7.5e-05
  Epoch  38/150 | loss: 0.1627 | val AUC: 0.6724 | LR bb=2.5e-06 adapter=2.5e-05 hd=7.5e-05
  Epoch  39/150 | loss: 0.2315 | val AUC: 0.6397 | LR bb=2.5e-06 adapter=2.5e-05 hd=7.5e-05
  Epoch  40/150 | loss: 0.1990 | val AUC: 0.6672 | LR bb=1.3e-06 adapter=1.3e-05 hd=3.7e-05
  LR reduced: 7.5e-05 → 3.7e-05  (patience reset)
  Epoch  41/150 | loss: 0.0699 | val AUC: 0.6759 | LR bb=1.3e-06 adapter=1.3e-05 hd=3.7e-05
  Epoch  42/150 | loss: 0.1871 | val AUC: 0.6621 | LR bb=1.3e-06 adapter=1.3e-05 hd=3.7e-05
