Job ID: 9550841
Node:   g7
GPU:    0
Run:    focal_deep_rlrop
Extra:  --focal-gamma 2.0 --head-depth 2
Start:  Sun Jun 28 21:11:06 EDT 2026
Device: cuda
initialize_weights...
[model] First conv inflated: 3 → 96 channels (weight tiling ÷32)
[model] backbone: MedViT_small  proj_head: 1024 → 512 → 256 → 2  (dropout=0.2)
Config saved: /geode3/home/u070/ohjiye/Quartz/MedImage/ProstateCls/weight_tiling/output/focal_deep_rlrop/config.json
Total: 451  csPCa: 65  ciPCa: 386
Split → train: 315 (csPCa=45) | val: 68 (csPCa=10) | test: 68 (csPCa=10)

==================================================
Train: 315 (csPCa=45, ciPCa=270)
Val:   68   (csPCa=10, ciPCa=58)
initialize_weights...
[model] Pretrained backbone loaded from /N/slate/ohjiye/medvit_ckpt/MedViT_small.pth
[model] First conv inflated: 3 → 96 channels (weight tiling ÷32)
[model] backbone: MedViT_small  proj_head: 1024 → 512 → 256 → 2  (dropout=0.2)
  Class weights: ciPCa=0.583  csPCa=3.500  (1:6.0)
  Loss: FocalLoss(gamma=2.0)
  Optimizer: backbone LR=1e-05, head(stem+proj) LR=0.0003
  Epoch   1/150 | loss: 0.2400 | val AUC: 0.7431 | LR bb=1.0e-05 hd=3.0e-04
  Epoch   2/150 | loss: 0.2108 | val AUC: 0.8466 | LR bb=1.0e-05 hd=3.0e-04
  Epoch   3/150 | loss: 0.1866 | val AUC: 0.7552 | LR bb=1.0e-05 hd=3.0e-04
  Epoch   4/150 | loss: 0.1833 | val AUC: 0.8103 | LR bb=1.0e-05 hd=3.0e-04
  Epoch   5/150 | loss: 0.1770 | val AUC: 0.6431 | LR bb=1.0e-05 hd=3.0e-04
  Epoch   6/150 | loss: 0.1395 | val AUC: 0.7345 | LR bb=1.0e-05 hd=3.0e-04
  Epoch   7/150 | loss: 0.1716 | val AUC: 0.7690 | LR bb=1.0e-05 hd=3.0e-04
  Epoch   8/150 | loss: 0.1259 | val AUC: 0.6810 | LR bb=1.0e-05 hd=3.0e-04
  Epoch   9/150 | loss: 0.1231 | val AUC: 0.7466 | LR bb=1.0e-05 hd=3.0e-04
  Epoch  10/150 | loss: 0.2087 | val AUC: 0.7328 | LR bb=1.0e-05 hd=3.0e-04
  Epoch  11/150 | loss: 0.1146 | val AUC: 0.7414 | LR bb=1.0e-05 hd=3.0e-04
  Epoch  12/150 | loss: 0.1603 | val AUC: 0.7500 | LR bb=1.0e-05 hd=3.0e-04
  Epoch  13/150 | loss: 0.0969 | val AUC: 0.7259 | LR bb=5.0e-06 hd=1.5e-04
  LR reduced: 3.0e-04 → 1.5e-04  (patience reset)
  Epoch  14/150 | loss: 0.1253 | val AUC: 0.7431 | LR bb=5.0e-06 hd=1.5e-04
  Epoch  15/150 | loss: 0.0788 | val AUC: 0.7603 | LR bb=5.0e-06 hd=1.5e-04
