Job ID: 9549802
Node:   g5
GPU:    0
Run:    slice_tf_mean_bs2
Extra:  --pooling mean --batch-size 2
Start:  Sun Jun 28 20:02:21 EDT 2026
Device: cuda
Config saved: /geode3/home/u070/ohjiye/Quartz/MedImage/ProstateCls/slice_transformer/output/slice_tf_mean_bs2/config.json
Total: 451  csPCa: 65  ciPCa: 386
Split → train: 315 (csPCa=45) | val: 68 (csPCa=10) | test: 68 (csPCa=10)

==================================================
Train: 315 (csPCa=45, ciPCa=270)
Val:   68   (csPCa=10, ciPCa=58)
initialize_weights...
[model] Pretrained backbone loaded from /N/slate/ohjiye/medvit_ckpt/MedViT_small.pth
[model] d_model=1024
[model] Transformer: 2 layers, 8 heads, ff=2048  pooling=mean
[model] head: 1024 → 512 → 256 → 2  (dropout=0.2)
[model] backbone: MedViT_small  stem: 3ch pretrained (unchanged)
  Class weights: ciPCa=0.583  csPCa=3.500  (1:6.0)
  Loss: CrossEntropyLoss
  Optimizer: backbone LR=1e-05, transformer+head LR=0.0003
  Epoch   1/150 | loss: 0.7555 | val AUC: 0.6034 | LR bb=1.0e-05 hd=3.0e-04
  Epoch   2/150 | loss: 0.7103 | val AUC: 0.3569 | LR bb=1.0e-05 hd=3.0e-04
  Epoch   3/150 | loss: 0.6823 | val AUC: 0.3724 | LR bb=1.0e-05 hd=3.0e-04
  Epoch   4/150 | loss: 0.9603 | val AUC: 0.4000 | LR bb=1.0e-05 hd=3.0e-04
  Epoch   5/150 | loss: 0.9792 | val AUC: 0.4914 | LR bb=1.0e-05 hd=3.0e-04
  Epoch   6/150 | loss: 1.0890 | val AUC: 0.3362 | LR bb=1.0e-05 hd=3.0e-04
  Epoch   7/150 | loss: 0.8329 | val AUC: 0.7138 | LR bb=1.0e-05 hd=3.0e-04
  Epoch   8/150 | loss: 1.1106 | val AUC: 0.3190 | LR bb=1.0e-05 hd=3.0e-04
  Epoch   9/150 | loss: 1.0405 | val AUC: 0.4759 | LR bb=1.0e-05 hd=3.0e-04
  Epoch  10/150 | loss: 0.9262 | val AUC: 0.5414 | LR bb=1.0e-05 hd=3.0e-04
  Epoch  11/150 | loss: 1.0551 | val AUC: 0.6931 | LR bb=1.0e-05 hd=3.0e-04
  Epoch  12/150 | loss: 0.8653 | val AUC: 0.6828 | LR bb=1.0e-05 hd=3.0e-04
  Epoch  13/150 | loss: 0.9128 | val AUC: 0.5086 | LR bb=1.0e-05 hd=3.0e-04
  Epoch  14/150 | loss: 1.0284 | val AUC: 0.4431 | LR bb=1.0e-05 hd=3.0e-04
  Epoch  15/150 | loss: 1.0052 | val AUC: 0.4690 | LR bb=1.0e-05 hd=3.0e-04
  Epoch  16/150 | loss: 0.6563 | val AUC: 0.5224 | LR bb=1.0e-05 hd=3.0e-04
  Epoch  17/150 | loss: 0.6737 | val AUC: 0.3793 | LR bb=1.0e-05 hd=3.0e-04
  Epoch  18/150 | loss: 0.8298 | val AUC: 0.5397 | LR bb=5.0e-06 hd=1.5e-04
  LR reduced: 3.0e-04 → 1.5e-04  (patience reset)
  Epoch  19/150 | loss: 0.6349 | val AUC: 0.5534 | LR bb=5.0e-06 hd=1.5e-04
  Epoch  20/150 | loss: 0.5718 | val AUC: 0.6172 | LR bb=5.0e-06 hd=1.5e-04
  Epoch  21/150 | loss: 0.6244 | val AUC: 0.6483 | LR bb=5.0e-06 hd=1.5e-04
  Epoch  22/150 | loss: 0.7487 | val AUC: 0.6845 | LR bb=5.0e-06 hd=1.5e-04
  Epoch  23/150 | loss: 0.6164 | val AUC: 0.6845 | LR bb=5.0e-06 hd=1.5e-04
  Epoch  24/150 | loss: 0.3056 | val AUC: 0.6759 | LR bb=5.0e-06 hd=1.5e-04
  Epoch  25/150 | loss: 0.5280 | val AUC: 0.6552 | LR bb=5.0e-06 hd=1.5e-04
  Epoch  26/150 | loss: 0.3411 | val AUC: 0.6397 | LR bb=5.0e-06 hd=1.5e-04
  Epoch  27/150 | loss: 0.3692 | val AUC: 0.6052 | LR bb=5.0e-06 hd=1.5e-04
  Epoch  28/150 | loss: 0.5094 | val AUC: 0.5948 | LR bb=5.0e-06 hd=1.5e-04
  Epoch  29/150 | loss: 0.5125 | val AUC: 0.6397 | LR bb=2.5e-06 hd=7.5e-05
  LR reduced: 1.5e-04 → 7.5e-05  (patience reset)
  Epoch  30/150 | loss: 0.4550 | val AUC: 0.6069 | LR bb=2.5e-06 hd=7.5e-05
  Epoch  31/150 | loss: 0.2938 | val AUC: 0.6241 | LR bb=2.5e-06 hd=7.5e-05
  Epoch  32/150 | loss: 0.2265 | val AUC: 0.6034 | LR bb=2.5e-06 hd=7.5e-05
  Epoch  33/150 | loss: 0.3468 | val AUC: 0.6034 | LR bb=2.5e-06 hd=7.5e-05
  Epoch  34/150 | loss: 0.2889 | val AUC: 0.6448 | LR bb=2.5e-06 hd=7.5e-05
  Epoch  35/150 | loss: 0.2919 | val AUC: 0.5741 | LR bb=2.5e-06 hd=7.5e-05
  Epoch  36/150 | loss: 0.2499 | val AUC: 0.5776 | LR bb=2.5e-06 hd=7.5e-05
